Protein IDs,Majority protein IDs,Peptide counts (unique),Fasta headers,Mol. weight [kDa],Intensity,B1.1_1,B1.1_2,B1.1_3,CT_1,B0.3_1,B0.3_2,B0.3_3,B1.1_4,CT_2,CT_3,B0.3_4,B0.3_5,CT_4,CT_5,B1.1_5 
P02672;CON__P02672;A5PJE3;F6QND5;A0A3Q1LVV7,P02672;CON__P02672;A5PJE3;F6QND5;A0A3Q1LVV7,33;33;33;33;31,sp|P02672|FIBA_BOVIN Fibrinogen alpha chain OS=Bos taurus OX=9913 GN=FGA PE=1 SV=5;;tr|A5PJE3|A5PJE3_BOVIN Fibrinogen alpha chain OS=Bos taurus OX=9913 GN=FGA PE=2 SV=1;tr|F6QND5|F6QND5_BOVIN Fibrinogen alpha chain OS=Bos taurus OX=9913 GN=FGA PE=4 SV=1;tr,67.011,2809800000,266390000,433630000,53427000,250880000,449630000,401490000,41831000,30402000,11039000,23388000,191750000,63695000,68704000,49574000,273460000
Q3T165,Q3T165,22,sp|Q3T165|PHB1_BOVIN Prohibitin 1 OS=Bos taurus OX=9913 GN=PHB1 PE=2 SV=1,29.804,2682500000,287780000,232800000,193110000,252930000,145320000,317740000,91454000,132770000,178660000,195600000,229980000,133690000,117780000,141640000,136610000
Q3ZBY4;A0A3S5ZPB0,Q3ZBY4;A0A3S5ZPB0,24;21,tr|Q3ZBY4|Q3ZBY4_BOVIN Fructose-bisphosphate aldolase OS=Bos taurus OX=9913 GN=ALDOC PE=2 SV=2;tr|A0A3S5ZPB0|A0A3S5ZPB0_BOVIN Fructose-bisphosphate aldolase OS=Bos taurus OX=9913 GN=ALDOC PE=1 SV=1,39.381,3176200000,233530000,229600000,261390000,253790000,245360000,215260000,233100000,98262000,203100000,219970000,198370000,197510000,147530000,182030000,185730000
F1MXX0;A0A3Q1MFE4;A7E3V3;A0A3Q1LYI6;Q2NL19,F1MXX0;A0A3Q1MFE4;A7E3V3;A0A3Q1LYI6;Q2NL19,37;37;36;33;33,tr|F1MXX0|F1MXX0_BOVIN MICOS complex subunit MIC60 OS=Bos taurus OX=9913 GN=IMMT PE=1 SV=1;tr|A0A3Q1MFE4|A0A3Q1MFE4_BOVIN MICOS complex subunit MIC60 OS=Bos taurus OX=9913 GN=IMMT PE=1 SV=1;tr|A7E3V3|A7E3V3_BOVIN MICOS complex subunit MIC60 OS=Bos taurus O,83.043,2295400000,181440000,225710000,147830000,255970000,200590000,75452000,218070000,98242000,147700000,167770000,108570000,83027000,136550000,129470000,88952000
A6H7G2;A0A452DIT4,A6H7G2;A0A452DIT4,14;14,sp|A6H7G2|DBNL_BOVIN Drebrin-like protein OS=Bos taurus OX=9913 GN=DBNL PE=2 SV=1;tr|A0A452DIT4|A0A452DIT4_BOVIN Drebrin-like protein OS=Bos taurus OX=9913 GN=DBNL PE=3 SV=1,47.722,1397900000,181320000,237250000,179710000,259610000,134570000,0,0,0,0,0,93549000,200090000,239650000,181490000,261480000
P62958;A0A3Q1MQJ9;A0A452DIE9;A1XEA3;A1XEC4;A1XEC3;A0A3Q1NC15,P62958;A0A3Q1MQJ9;A0A452DIE9;A1XEA3,16;14;12;9;7;6;4,sp|P62958|HINT1_BOVIN Adenosine 5-monophosphoramidase HINT1 OS=Bos taurus OX=9913 GN=HINT1 PE=1 SV=2;tr|A0A3Q1MQJ9|A0A3Q1MQJ9_BOVIN HIT domain-containing protein OS=Bos taurus OX=9913 PE=3 SV=1;tr|A0A452DIE9|A0A452DIE9_BOVIN Histidine triad nucleotide-bin,13.779,6231500000,202840000,370790000,306530000,267030000,799380000,377860000,427590000,823410000,467260000,633330000,394320000,379830000,452860000,331690000,361690000
Q3MHL4;A0A3Q1LW27;A0A3Q1M2N8,Q3MHL4;A0A3Q1LW27,25;21;0,sp|Q3MHL4|SAHH_BOVIN Adenosylhomocysteinase OS=Bos taurus OX=9913 GN=AHCY PE=2 SV=3;tr|A0A3Q1LW27|A0A3Q1LW27_BOVIN Adenosylhomocysteinase OS=Bos taurus OX=9913 GN=AHCY PE=1 SV=1,47.637,3337700000,282240000,237620000,259640000,267240000,205320000,122390000,214570000,244780000,295910000,280040000,194630000,159490000,175730000,211110000,130660000
Q5E9D5;A0A3Q1MFL7;A0A3Q1ML30,Q5E9D5;A0A3Q1MFL7;A0A3Q1ML30,21;20;16,sp|Q5E9D5|DEST_BOVIN Destrin OS=Bos taurus OX=9913 GN=DSTN PE=2 SV=3;tr|A0A3Q1MFL7|A0A3Q1MFL7_BOVIN Actin-depolymerizing factor OS=Bos taurus OX=9913 GN=DSTN PE=1 SV=1;tr|A0A3Q1ML30|A0A3Q1ML30_BOVIN Actin-depolymerizing factor OS=Bos taurus OX=9913 GN=DSTN,18.506,10516000000,329830000,454620000,653210000,270660000,806550000,603710000,819210000,1495200000,1039300000,1040600000,1053800000,972340000,696880000,954380000,1193300000
Q29RZ0,Q29RZ0,26,"sp|Q29RZ0|THIL_BOVIN Acetyl-CoA acetyltransferase, mitochondrial OS=Bos taurus OX=9913 GN=ACAT1 PE=2 SV=1",44.889,3898500000,253580000,260810000,174410000,273260000,205920000,493380000,178100000,159420000,247980000,150150000,386750000,325050000,277650000,341910000,346690000
Q9TTK8,Q9TTK8,25,"sp|Q9TTK8|KCRU_BOVIN Creatine kinase U-type, mitochondrial OS=Bos taurus OX=9913 GN=CKMT1 PE=2 SV=1",46.896,6411900000,325990000,636720000,481720000,274430000,349430000,94525000,491230000,548730000,526880000,389880000,603110000,471890000,372670000,419000000,380740000
A7Z066;A0A3Q1LFC5;Q8HYW3,A7Z066;A0A3Q1LFC5,31;31;2,tr|A7Z066|A7Z066_BOVIN Calnexin OS=Bos taurus OX=9913 GN=CANX PE=1 SV=1;tr|A0A3Q1LFC5|A0A3Q1LFC5_BOVIN Calnexin OS=Bos taurus OX=9913 GN=CANX PE=1 SV=1,67.775,4375600000,314800000,438880000,123390000,275280000,307330000,126910000,223810000,0,317350000,152320000,350610000,465060000,415250000,653740000,432900000
O77834;A0A3Q1LKU1,O77834;A0A3Q1LKU1,20;10,sp|O77834|PRDX6_BOVIN Peroxiredoxin-6 OS=Bos taurus OX=9913 GN=PRDX6 PE=1 SV=3;tr|A0A3Q1LKU1|A0A3Q1LKU1_BOVIN Peroxiredoxin-6 OS=Bos taurus OX=9913 PE=3 SV=1,25.067,3861900000,213910000,173730000,373440000,276540000,325780000,476480000,149100000,512890000,305730000,236870000,277090000,280800000,230100000,205070000,218230000
A5D7M4;A0A3Q1LU70,A5D7M4;A0A3Q1LU70,14;11,tr|A5D7M4|A5D7M4_BOVIN Y-box binding protein 2 OS=Bos taurus OX=9913 GN=YBX2 PE=2 SV=1;tr|A0A3Q1LU70|A0A3Q1LU70_BOVIN Y-box binding protein 2 OS=Bos taurus OX=9913 GN=YBX2 PE=4 SV=1,38.268,3007900000,186480000,104840000,98562000,279620000,241870000,28276000,227690000,259500000,315520000,312180000,214190000,129890000,258480000,274150000,157430000
A0A3Q1M119;P62261;A0A3Q1MP67,A0A3Q1M119;P62261;A0A3Q1MP67,16;16;11,tr|A0A3Q1M119|A0A3Q1M119_BOVIN 14-3-3 protein epsilon OS=Bos taurus OX=9913 GN=YWHAE PE=1 SV=1;sp|P62261|1433E_BOVIN 14-3-3 protein epsilon OS=Bos taurus OX=9913 GN=YWHAE PE=2 SV=1;tr|A0A3Q1MP67|A0A3Q1MP67_BOVIN 14-3-3 protein epsilon OS=Bos taurus OX=9913,27.419,4227400000,264770000,333410000,305420000,284270000,332540000,120740000,271370000,245290000,331330000,327750000,289420000,348390000,278810000,360190000,273300000
P62157;A0A3Q1MR28;A0A452DIM7;A0A452DJ55;A0A3Q1M6C6;A0A3Q1LSI9;Q148C2;G3MZK7,P62157;A0A3Q1MR28;A0A452DIM7;A0A452DJ55;A0A3Q1M6C6;A0A3Q1LSI9,3;3;1;1;1;1;0;0,sp|P62157|CALM_BOVIN Calmodulin OS=Bos taurus OX=9913 GN=CALM PE=1 SV=2;tr|A0A3Q1MR28|A0A3Q1MR28_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 PE=4 SV=1;tr|A0A452DIM7|A0A452DIM7_BOVIN Calmodulin 3 OS=Bos taurus OX=9913 GN=CALM3 PE=4 SV=1;tr|A0A452DJ5,16.837,3585900000,103320000,56332000,309710000,285270000,280550000,0,292830000,325950000,0,0,426520000,249500000,617620000,357160000,427090000
Q02399;A6QR30;G5E518;A0A3Q1LPF6;E1BB50;A0A3Q1MD82;A0A3Q1LN49;F1MN42;A3KMY7;Q32KY4;A0A3Q1M0U2;A0A3Q1LYF6;A0A3Q1NA94;A0A3Q1LLH8;Q5EAB2;E1BC36;E1BB52,Q02399,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,sp|Q02399|CDK5_BOVIN Cyclin-dependent-like kinase 5 OS=Bos taurus OX=9913 GN=CDK5 PE=1 SV=2,33.288,4432400000,268580000,220790000,284380000,285430000,340790000,0,649860000,476390000,513150000,402660000,251350000,163000000,264580000,254080000,235530000
A3KN04;F1MJ36;A6QL95,A3KN04,33;5;4,tr|A3KN04|A3KN04_BOVIN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Bos taurus OX=9913 GN=RPN1 PE=1 SV=1,68.351,3745900000,253860000,358450000,157350000,293800000,336210000,243890000,228640000,95266000,233930000,215500000,283740000,247930000,259840000,264910000,286540000
Q3SZ54,Q3SZ54,8,sp|Q3SZ54|IF4A1_BOVIN Eukaryotic initiation factor 4A-I OS=Bos taurus OX=9913 GN=EIF4A1 PE=2 SV=1,46.153,3386200000,224700000,257410000,121350000,298550000,257140000,119880000,260380000,177170000,296770000,299600000,188470000,187320000,200220000,243220000,183750000
P31976;A0A3Q1LVC7,P31976;A0A3Q1LVC7,27;27,sp|P31976|EZRI_BOVIN Ezrin OS=Bos taurus OX=9913 GN=EZR PE=1 SV=2;tr|A0A3Q1LVC7|A0A3Q1LVC7_BOVIN Ezrin OS=Bos taurus OX=9913 GN=EZR PE=1 SV=1,68.759,3309100000,281610000,229890000,324970000,301260000,320650000,0,235530000,144990000,318140000,320680000,144290000,151860000,259880000,210270000,121650000
G3MXK7,G3MXK7,18,tr|G3MXK7|G3MXK7_BOVIN Ferritin OS=Bos taurus OX=9913 PE=3 SV=2,22.555,4779800000,330260000,156920000,254070000,301730000,264200000,0,437720000,355780000,606150000,594720000,498720000,412150000,413920000,367150000,473790000
Q862K7;P61285;A0A452DJJ2;G3MX54;E1B7A3,Q862K7;P61285;A0A452DJJ2,11;11;11;1;0,"tr|Q862K7|Q862K7_BOVIN Dynein light chain (Fragment) OS=Bos taurus OX=9913 PE=2 SV=1;sp|P61285|DYL1_BOVIN Dynein light chain 1, cytoplasmic OS=Bos taurus OX=9913 GN=DYNLL1 PE=1 SV=1;tr|A0A452DJJ2|A0A452DJJ2_BOVIN Dynein light chain OS=Bos taurus OX=9913 GN",9.2514,6582600000,335630000,315330000,426880000,303040000,388580000,0,776500000,304680000,805460000,919920000,361760000,398280000,451890000,481250000,279980000
A4FUD0;A0A3Q1M478,A4FUD0;A0A3Q1M478,56;51,"tr|A4FUD0|A4FUD0_BOVIN C-1-tetrahydrofolate synthase, cytoplasmic OS=Bos taurus OX=9913 GN=MTHFD1 PE=1 SV=1;tr|A0A3Q1M478|A0A3Q1M478_BOVIN C-1-tetrahydrofolate synthase, cytoplasmic OS=Bos taurus OX=9913 GN=MTHFD1 PE=1 SV=1",101.18,4055200000,245600000,251710000,280430000,310770000,259940000,0,418550000,284190000,354450000,424350000,192370000,245490000,229960000,282900000,197260000
Q9N0T1,Q9N0T1,13,sp|Q9N0T1|STC1_BOVIN Stanniocalcin-1 OS=Bos taurus OX=9913 GN=STC1 PE=2 SV=2,27.555,1366900000,80562000,153890000,0,315790000,0,0,130210000,0,69586000,0,158450000,93647000,112920000,64644000,34185000
F1MXI4;A4IF82,F1MXI4;A4IF82,20;20,tr|F1MXI4|F1MXI4_BOVIN Matrin 3 OS=Bos taurus OX=9913 GN=MATR3 PE=1 SV=1;tr|A4IF82|A4IF82_BOVIN MATR3 protein OS=Bos taurus OX=9913 GN=MATR3 PE=2 SV=1,93.823,2467500000,358550000,299060000,136300000,325630000,162940000,64677000,71302000,22498000,77854000,49304000,132520000,138540000,140370000,155430000,234580000
G3N131,G3N131,8,sp|G3N131|H11_BOVIN Histone H1.1 OS=Bos taurus OX=9913 GN=H1-1 PE=1 SV=1,22.1,3709500000,368460000,196330000,0,331200000,497880000,455470000,98157000,81589000,145340000,70906000,302230000,276220000,238670000,459750000,501330000
E1BBC4;A0A3Q1LJL3;A0A3Q1MGQ5,E1BBC4;A0A3Q1LJL3;A0A3Q1MGQ5,62;62;59,"tr|E1BBC4|E1BBC4_BOVIN Dynamin-like 120 kDa protein, mitochondrial OS=Bos taurus OX=9913 GN=OPA1 PE=4 SV=3;tr|A0A3Q1LJL3|A0A3Q1LJL3_BOVIN Dynamin-like 120 kDa protein, mitochondrial OS=Bos taurus OX=9913 GN=OPA1 PE=4 SV=1;tr|A0A3Q1MGQ5|A0A3Q1MGQ5_BOVIN Dyn",117.52,5024100000,534390000,283640000,523340000,331640000,367280000,31365000,584480000,296020000,476610000,547950000,223940000,142060000,245900000,292750000,144110000
A1L555;P26779;F1MXP8;A0A3Q1MI01;A0A140T8C6,A1L555;P26779;F1MXP8;A0A3Q1MI01;A0A140T8C6,25;23;23;23;22,tr|A1L555|A1L555_BOVIN Prosaposin OS=Bos taurus OX=9913 GN=PSAP PE=2 SV=1;sp|P26779|SAP_BOVIN Prosaposin OS=Bos taurus OX=9913 GN=PSAP PE=1 SV=3;tr|F1MXP8|F1MXP8_BOVIN Prosaposin OS=Bos taurus OX=9913 GN=PSAP PE=4 SV=3;tr|A0A3Q1MI01|A0A3Q1MI01_BOVIN Prosap,58.167,10107000000,439590000,750780000,604240000,331780000,837440000,578730000,656340000,920970000,584310000,764710000,1110000000,1004500000,1085800000,698500000,998050000
Q5KR49;A0A3Q1LPQ6,Q5KR49;A0A3Q1LPQ6,7;2,sp|Q5KR49|TPM1_BOVIN Tropomyosin alpha-1 chain OS=Bos taurus OX=9913 GN=TPM1 PE=2 SV=1;tr|A0A3Q1LPQ6|A0A3Q1LPQ6_BOVIN Tropomyosin alpha-1 chain OS=Bos taurus OX=9913 GN=TPM1 PE=1 SV=1,32.694,3672700000,401070000,728810000,305010000,339140000,145720000,87082000,70684000,0,24074000,112770000,105970000,208060000,175670000,96901000,193350000
E1BQ37;A0A3Q1LXA1,E1BQ37;A0A3Q1LXA1,28;24,tr|E1BQ37|E1BQ37_BOVIN Splicing factor proline and glutamine rich OS=Bos taurus OX=9913 GN=SFPQ PE=1 SV=1;tr|A0A3Q1LXA1|A0A3Q1LXA1_BOVIN Splicing factor proline and glutamine rich OS=Bos taurus OX=9913 GN=SFPQ PE=1 SV=1,76.248,3331400000,383010000,321270000,173440000,339350000,211720000,305430000,97917000,92145000,141030000,103980000,152780000,223100000,185170000,158470000,241140000
A7MAZ5,A7MAZ5,4,sp|A7MAZ5|H13_BOVIN Histone H1.3 OS=Bos taurus OX=9913 GN=H1-3 PE=1 SV=1,22.153,6503600000,617940000,241120000,140220000,344880000,623580000,688670000,169020000,144860000,228640000,213040000,650700000,715160000,533870000,655500000,811420000
CON__P15636,CON__P15636,10,,68.124,3391000000,347920000,487240000,183980000,360040000,171110000,178850000,303350000,438270000,416690000,390990000,0,0,0,62783000,69806000
F6QH94;A6QNL5;A0A3Q1MRD2;Q0V8C4,F6QH94;A6QNL5;A0A3Q1MRD2,30;30;15;11,tr|F6QH94|F6QH94_BOVIN Protein disulfide-isomerase A6 OS=Bos taurus OX=9913 GN=PDIA6 PE=1 SV=1;tr|A6QNL5|A6QNL5_BOVIN Protein disulfide-isomerase A6 (Fragment) OS=Bos taurus OX=9913 GN=PDIA6 PE=2 SV=1;tr|A0A3Q1MRD2|A0A3Q1MRD2_BOVIN Protein disulfide-isomer,48.141,6515700000,400610000,672930000,207180000,362320000,525110000,362770000,366000000,313820000,544280000,374160000,401160000,502640000,391750000,313210000,366930000
A7Z057;P68252,A7Z057;P68252,15;14,tr|A7Z057|A7Z057_BOVIN 14-3-3 protein gamma OS=Bos taurus OX=9913 GN=YWHAG PE=2 SV=1;sp|P68252|1433G_BOVIN 14-3-3 protein gamma OS=Bos taurus OX=9913 GN=YWHAG PE=1 SV=2,28.302,4774600000,264840000,341780000,589980000,365440000,419640000,249570000,297470000,360760000,291690000,354230000,287610000,403890000,298530000,250730000,293560000
Q3ZC07;G8JKX4;Q5E9B5;P68138;P62739;A0A452DJE4;A0A3Q1M558;A5D7J0;A4IFM8;Q58DT9;Q862L0,Q3ZC07;G8JKX4;Q5E9B5;P68138;P62739;A0A452DJE4;A0A3Q1M558;A5D7J0;A4IFM8;Q58DT9,6;4;4;6;4;3;6;4;5;4;4,"sp|Q3ZC07|ACTC_BOVIN Actin, alpha cardiac muscle 1 OS=Bos taurus OX=9913 GN=ACTC1 PE=2 SV=1;tr|G8JKX4|G8JKX4_BOVIN Actin, aortic smooth muscle OS=Bos taurus OX=9913 GN=ACTA2 PE=3 SV=2;sp|Q5E9B5|ACTH_BOVIN Actin, gamma-enteric smooth muscle OS=Bos taurus OX",42.019,6239200000,374360000,254590000,278960000,370440000,315900000,0,289470000,172610000,389900000,352930000,507830000,715140000,1056200000,793110000,580180000
Q5E9F1,Q5E9F1,20,tr|Q5E9F1|Q5E9F1_BOVIN B-cell receptor-associated protein OS=Bos taurus OX=9913 GN=BCAP31 PE=2 SV=1,27.901,4113000000,579650000,228590000,306690000,371300000,191010000,91634000,341310000,154450000,229940000,193170000,341120000,232140000,283440000,330670000,319170000
P52193;A5D7J6,P52193;A5D7J6,31;31,sp|P52193|CALR_BOVIN Calreticulin OS=Bos taurus OX=9913 GN=CALR PE=1 SV=2;tr|A5D7J6|A5D7J6_BOVIN Calreticulin OS=Bos taurus OX=9913 GN=CALR PE=2 SV=1,48.038,8262800000,426790000,608030000,297600000,371700000,646130000,483720000,479480000,250740000,406480000,409810000,664490000,1117100000,737380000,454050000,846370000
A0A140T854;A0A3Q1MEC8;O18879;E1BGC0;E1BKD8,A0A140T854;A0A3Q1MEC8,3;0;3;0;0,tr|A0A140T854|A0A140T854_BOVIN Glutathione S-transferase OS=Bos taurus OX=9913 GN=GSTA1 PE=3 SV=1;tr|A0A3Q1MEC8|A0A3Q1MEC8_BOVIN Glutathione S-transferase OS=Bos taurus OX=9913 GN=GSTA1 PE=3 SV=1,25.424,4618400000,447100000,232390000,250190000,377310000,336640000,377380000,119090000,0,170860000,153260000,423320000,480220000,422610000,547960000,588000000
E1BEG2;A0A3Q1LPR0;A0A3Q1MD54;A0A3Q1NDU9;G3N220;A0A3Q1MEY9,E1BEG2;A0A3Q1LPR0,25;21;12;7;6;5,tr|E1BEG2|E1BEG2_BOVIN Heteroous nuclear ribonucleoprotein A3 OS=Bos taurus OX=9913 GN=HNRNPA3 PE=4 SV=3;tr|A0A3Q1LPR0|A0A3Q1LPR0_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 PE=4 SV=1,39.709,4743400000,450750000,369060000,103460000,382950000,348050000,547280000,138790000,0,217560000,134110000,251930000,415840000,290020000,186780000,428190000
Q3SYU2;A0A3Q1MM86,Q3SYU2,51;5,sp|Q3SYU2|EF2_BOVIN Elongation factor 2 OS=Bos taurus OX=9913 GN=EEF2 PE=2 SV=3,95.367,5016400000,285510000,556790000,202600000,389780000,409820000,188390000,217620000,72028000,349070000,73690000,454000000,413120000,408150000,578550000,502300000
G3X757;Q3ZBT1;A0A3Q1M0U9,G3X757;Q3ZBT1;A0A3Q1M0U9,62;61;59,tr|G3X757|G3X757_BOVIN 15S Mg(2+)-ATPase p97 subunit OS=Bos taurus OX=9913 GN=VCP PE=3 SV=1;sp|Q3ZBT1|TERA_BOVIN Transitional endoplasmic reticulum ATPase OS=Bos taurus OX=9913 GN=VCP PE=2 SV=1;tr|A0A3Q1M0U9|A0A3Q1M0U9_BOVIN 15S Mg(2+)-ATPase p97 subunit O,89.302,6901900000,351850000,365070000,390630000,398200000,637670000,568670000,472500000,570600000,390240000,486440000,603080000,554670000,524320000,550190000,576690000
Q2M2T1;F2Z4F9;A0A3Q1M4L6;G3N011;F1MJU1;G3MYB1;E1BDE9,Q2M2T1;F2Z4F9;A0A3Q1M4L6,0;0;0;0;0;0;0,sp|Q2M2T1|H2B1K_BOVIN Histone H2B type 1-K OS=Bos taurus OX=9913 GN=H2BC12 PE=1 SV=3;tr|F2Z4F9|F2Z4F9_BOVIN Histone H2B OS=Bos taurus OX=9913 GN=H2BC12 PE=3 SV=1;tr|A0A3Q1M4L6|A0A3Q1M4L6_BOVIN H2B clustered histone 14 OS=Bos taurus OX=9913 GN=H2BC14 PE=3 S,13.875,2029700000,378720000,425950000,81706000,399650000,74488000,150250000,0,0,0,0,17233000,0,0,6940900,21420000
G3N2C1;B1GVY4,G3N2C1,34;2,tr|G3N2C1|G3N2C1_BOVIN NACHT domain-containing protein OS=Bos taurus OX=9913 GN=LOC100301263 PE=4 SV=2,105.17,4871300000,439140000,277110000,777060000,411430000,330940000,25237000,805510000,360010000,662780000,445120000,105340000,80219000,243110000,223410000,99089000
Q27975;Q27965;A0A5A4UBP5;A0A5A4U8C3;A0A5A4U7U6;A0A5A4UAK7;A7LN90,Q27975;Q27965;A0A5A4UBP5;A0A5A4U8C3;A0A5A4U7U6;A0A5A4UAK7,5;5;5;3;3;5;3,sp|Q27975|HS71A_BOVIN Heat shock 70 kDa protein 1A OS=Bos taurus OX=9913 GN=HSPA1A PE=1 SV=2;sp|Q27965|HS71B_BOVIN Heat shock 70 kDa protein 1B OS=Bos taurus OX=9913 GN=HSPA1B PE=2 SV=1;tr|A0A5A4UBP5|A0A5A4UBP5_BOVIN Heat shock protein 70 OS=Bos taurus OX=,70.258,7006700000,528120000,377020000,382190000,425670000,537990000,256460000,988340000,702010000,601790000,684610000,395160000,348430000,473610000,381080000,425120000
P46201;C4PU73,P46201;C4PU73,29;27,"sp|P46201|UTMP_BOVIN Uterine milk protein OS=Bos taurus OX=9913 PE=2 SV=1;tr|C4PU73|C4PU73_BOVIN Serin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin)-like OS=Bos taurus OX=9913 GN=LOC286871 PE=2 SV=1",52.365,4569600000,329480000,347430000,53024000,432210000,193420000,147300000,342950000,274130000,152780000,151300000,423080000,425130000,726580000,344940000,442570000
P62992;A0A3Q1MYD8,P62992;A0A3Q1MYD8,3;3,sp|P62992|RS27A_BOVIN Ubiquitin-40S ribosomal protein S27a OS=Bos taurus OX=9913 GN=RPS27A PE=1 SV=2;tr|A0A3Q1MYD8|A0A3Q1MYD8_BOVIN Ubiquitin carboxyl extension protein 80 OS=Bos taurus OX=9913 GN=RPS27A PE=3 SV=1,17.965,8630900000,461960000,398990000,448130000,438820000,723820000,257500000,676190000,603020000,592690000,578090000,484220000,358330000,586790000,481210000,588370000
P49410,P49410,31,"sp|P49410|EFTU_BOVIN Elongation factor Tu, mitochondrial OS=Bos taurus OX=9913 GN=TUFM PE=1 SV=1",49.398,5666000000,449900000,405700000,365900000,443020000,385980000,212620000,454550000,695380000,524510000,474540000,229090000,273270000,296320000,293790000,259730000
Q9BGI2;A0A3Q1LW10;A0A452DI43;A0A3Q1MAI4,Q9BGI2;A0A3Q1LW10;A0A452DI43;A0A3Q1MAI4,17;14;13;12,sp|Q9BGI2|PRDX4_BOVIN Peroxiredoxin-4 OS=Bos taurus OX=9913 GN=PRDX4 PE=2 SV=1;tr|A0A3Q1LW10|A0A3Q1LW10_BOVIN Peroxiredoxin-4 OS=Bos taurus OX=9913 GN=PRDX4 PE=4 SV=1;tr|A0A452DI43|A0A452DI43_BOVIN Peroxiredoxin-4 OS=Bos taurus OX=9913 GN=PRDX4 PE=4 SV=1;t,30.741,6607000000,302690000,580140000,412090000,448840000,254860000,161850000,502610000,366650000,318150000,415990000,538620000,510170000,300980000,458060000,367940000
Q1JQD0;Q9N0M1;Q8WN15,Q1JQD0;Q9N0M1,26;17;11,tr|Q1JQD0|Q1JQD0_BOVIN Estradiol 17-beta-dehydrogenase OS=Bos taurus OX=9913 GN=HSD17B1 PE=2 SV=1;tr|Q9N0M1|Q9N0M1_BOVIN 17-beta-hydroxysteroid dehydrogenase type 1 (Fragment) OS=Bos taurus OX=9913 PE=2 SV=1,33.974,7877700000,466290000,602980000,348150000,455090000,639290000,516720000,270020000,192880000,503450000,374190000,452930000,539280000,830180000,1172100000,485980000
Q76LV1;G5E507;Q3SZD6;G3N2V5;Q865A1;A0A6C0PQP7;Q7M2S2,Q76LV1;G5E507,39;34;10;14;15;11;0,sp|Q76LV1|HS90B_BOVIN Heat shock protein HSP 90-beta OS=Bos taurus OX=9913 GN=HSP90AB1 PE=2 SV=3;tr|G5E507|G5E507_BOVIN Heat shock protein HSP 90-beta OS=Bos taurus OX=9913 GN=HSP90AB1 PE=1 SV=2,83.252,6447000000,447790000,404550000,456750000,463370000,616800000,155430000,447040000,119170000,531460000,410530000,359430000,391450000,519600000,681000000,385640000
P21327,P21327,28,sp|P21327|INPP_BOVIN Inositol polyphosphate 1-phosphatase OS=Bos taurus OX=9913 GN=INPP1 PE=1 SV=2,43.965,10201000000,590540000,654950000,857760000,468980000,828580000,412240000,974390000,1270400000,1074300000,1168100000,679740000,488640000,679400000,808710000,616040000
E3SAZ8;D3U796;F1MTV9;Q3T160;E1BCL3;E2CT01;A0A3Q1LXL7;A0A3Q1LR94,E3SAZ8;D3U796;F1MTV9;Q3T160;E1BCL3,25;25;22;22;13;10;10;4,tr|E3SAZ8|E3SAZ8_BOVIN Nucleophosmin OS=Bos taurus OX=9913 GN=NPM1 PE=3 SV=1;tr|D3U796|D3U796_BOVIN Nucleophosmin OS=Bos taurus OX=9913 GN=NPM PE=3 SV=1;tr|F1MTV9|F1MTV9_BOVIN Nucleophosmin OS=Bos taurus OX=9913 GN=NPM1 PE=3 SV=3;sp|Q3T160|NPM_BOVIN Nucleo,32.2,7316200000,466740000,365480000,334270000,469550000,814230000,1214100000,321850000,190110000,357730000,327350000,610190000,660370000,612280000,456470000,876820000
B0JYQ0,B0JYQ0,12,tr|B0JYQ0|B0JYQ0_BOVIN ALB protein OS=Bos taurus OX=9913 GN=ALB PE=2 SV=1,69.293,12396000000,808040000,677070000,498210000,500290000,703710000,376910000,1191700000,1785400000,1037900000,810150000,1047600000,1162100000,677040000,717710000,912390000
F1MWN1;A5D785,F1MWN1;A5D785,6;6,tr|F1MWN1|F1MWN1_BOVIN Chromosome segregation 1-like protein OS=Bos taurus OX=9913 GN=CSE1L PE=3 SV=1;sp|A5D785|XPO2_BOVIN Exportin-2 OS=Bos taurus OX=9913 GN=CSE1L PE=2 SV=1,110.4,2268900000,0,253630000,618260000,508910000,492220000,0,304950000,303740000,357180000,436420000,0,0,0,320040000,0
Q3SZI4;B0JYM5;A0A3Q1MQS3,Q3SZI4;B0JYM5;A0A3Q1MQS3,11;11;11,sp|Q3SZI4|1433T_BOVIN 14-3-3 protein theta OS=Bos taurus OX=9913 GN=YWHAQ PE=1 SV=1;tr|B0JYM5|B0JYM5_BOVIN 14-3-3 protein theta OS=Bos taurus OX=9913 GN=YWHAQ PE=2 SV=1;tr|A0A3Q1MQS3|A0A3Q1MQS3_BOVIN 14-3-3 protein theta OS=Bos taurus OX=9913 GN=YWHAQ PE=1,27.764,6121800000,353220000,414210000,383240000,517110000,485190000,827080000,250290000,365390000,330160000,263930000,258680000,509640000,414640000,363120000,344950000
